teryt_simc_code,prg_street_name,osm_street_name
,dr. Wł. Cholewińskiego,Doktora Władysława Cholewińskiego
,dr. Wł. Franciszka Dłutka,Doktora Władysława Franciszka Dłutka
,dr. Władysława Dmocha,Doktora Władysława Dmocha
,dr. Władysława Grażewicza,Doktora Władysława Grażewicza
,dr. Władysława Klementowskiego,Doktora Władysława Klementowskiego
,dr. Władysława Paneckiego,Doktora Władysława Paneckiego
,dr. Włodzimierza Rodziewicza,Doktora Włodzimierza Rodziewicza
,dr. Zbigniewa Przybyszowskiego,Doktora Zbigniewa Przybyszowskiego
,dr. Zielińskiego,Doktora Zielińskiego
,dr. Zigmunda,Doktora Jana Zigmunda
,dr. Zygmunta Schinzla,Doktora Zygmunta Schinzla
,Dr. Zygmunta Tomaszunasa,Doktora Zygmunta Tomaszunasa
,dra Alfonsa Modrzejewskiego,Doktora Alfonsa Modrzejewskiego
,dra Andrzeja Cinciały,Doktora Andrzeja Cinciały
,dra Edmunda Biernackiego,Doktora Edmunda Biernackiego
,Dra Gustawa Dolińskiego,Doktora Gustawa Dolińskiego
,dra Jana Gellerta,Doktora Jana Gellerta
,dra Jana Kowalskiego,Doktora Jana Kowalskiego
,dra Judyma,Doktora Judyma
,Dra Kazimierza Jaczewskiego,Doktora Kazimierza Jaczewskiego
,dra Michała Biernackiego,Doktora Michała Biernackiego
,dra Mieczysława Orłowicza,Doktora Mieczysława Orłowicza
,dra Stanisława Krzysia,Doktora Stanisława Krzysia
,dra Stanisława Skarzyńskiego,Doktora Stanisława Skarzyńskiego
,Dra Witolda Chodźki,Doktora Witolda Chodźki
,dra Wojciecha Oczki,Doktora Wojciecha Oczki
,Drzonków-E. Romera,Drzonków-Eugeniusza Romera
,Drzymały,Michała Drzymały
0941984,Dąbrowskiego,Henryka Dąbrowskiego
0945746,Dąbrowskiego,Jarosława Dąbrowskiego
,Dąbrowskiej,Marii Dąbrowskiej
,Długosza,Jana Długosza
,E. Dembowskiego,Edwarda Dembowskiego
,E. i H. Bieleckich,Eugenii i Henryka Bieleckich
,E. Orzeszkowej,Elizy Orzeszkowej
,E. Plater,Emilii Plater
,E. Sczanieckiej,Emilii Sczanieckiej
,E. Szczepankiewicza,Eugieniusza Szczepankiewicza
,E. Taczanowskiego,Edmunda Taczanowskiego
,F. Adwenta,Filipa Adwenta
,F. Ceynowy,Floriana Ceynowy
,F. Chopina,Fryderyka Chopina
,F. Gzelli,Feliksa Gzelli
,F. Hynka,Franciszka Hynka
,F. Konarskiego,Feliksa Konarskiego
,F. Kucharskiego,Feliksa Kucharskiego
,F. Stamma,Feliksa Stamma
,F. Wielopolskiego,Franciszka Wielopolskiego
,Fitelberga,Grzegorza Fitelberga
,Fr. Chopina,Fryderyka Chopina
,Fr. Kowalewskiego,Franciszka Kowalewskiego
,Fr. Sójki,Franciszka Sójki
,Franciszka G. Gołębiowskiego,Franciszka Grzegorza Gołębiowskiego
,Fredry,Aleksandra Fredry
,Furgoła,Piotra Furgoła
,G. Hauptstocka,Güntera Hauptstocka
,G. Knapskiego,Grzegorza Knapskiego
,G. Narutowicza,Gabriela Narutowicza
,G. Zapolskiej,Gabrieli Zapolskiej
,Gagarina,Jurija Gagarina
,Gałczyńskiego,Konstantego Ildefonsa Gałczyńskiego
,Gen. A. E. Fieldorfa,Generała Augusta Emila Fieldorfa
,gen. A. Kosińskiego,Generała Amilkara Kosińskiego
,gen. Adama Eplera,Generała Adama Eplera
,Gen. Adama Skilskiego,Generała Adama Skilskiego
,Gen. Aleksandra Arkuszyńskiego,Generała Aleksandra Arkuszyńskiego
,gen. Aleksandra Krzyżanowskiego,Generała Aleksandra Krzyżanowskiego
,gen. Aleksandra Narbuta Łuczyńskiego,Generała Aleksandra Narbuta Łuczyńskiego
,Gen. Aleksandra Osińskiego,Generała Aleksandra Osińskiego
,gen. Alojzego Fryderyka Brühla,Generała Alojzego Fryderyka Brühla
,Gen. Amilkara Kosińskiego,Generała Amilkara Kosińskiego
,gen. Andersa,Generała Władysława Andersa
,gen. Andrzeja Galicy,Generała Andrzeja Galicy
,gen. Antoniego Chruściela,Generała Antoniego Chruściela
,gen. Antoniego Giełguda,Generała Antoniego Giełguda
,gen. Antoniego Hedy-Szarego,Generała Antoniego Hedy-Szarego
,Gen. Antoniego Jeziorańskiego,Generała Antoniego Jeziorańskiego
,gen. Antoniego Józefa Madalińskiego,Generała Antoniego Józefa Madalińskiego
,Gen. Antoniego Kosińskiego,Generała Antoniego Kosińskiego
,gen. Antoniego Madalińskiego,Generała Antoniego Madalińskiego
,gen. Antoniego Szyllinga,Generała Antoniego Szyllinga
,gen. Antoniego Zdrojewskiego,Generała Antoniego Zdrojewskiego
,gen. Arciszewskiego,Generała Franciszka Arciszewskiego
,gen. Augusta E. Fieldorfa,Generała Augusta Emila Fieldorfa
,gen. Augusta Emila Fieldorfa,Generała Augusta Emila Fieldorfa
,Gen. Augusta Emila Fieldorfa-Nila,Generała Augusta Emila Fieldorfa-Nila
,gen. Bema,Generała Józefa Bema
,Gen. Bohusza Szyszko,Generała Bohusza Szyszko
,Gen. Bolesława Ducha,Generała Bolesława Ducha
,gen. Bolesława Roi,Generała Bolesława Roi
,Gen. Bora Komorowskiego,"Generała Tadeusza ""Bora"" Komorowskiego"
,gen. Bora-Komorowskiego,"Generała Tadeusza ""Bora"" Komorowskiego"
,gen. broni Tadeusza Buka,Generała Broni Tadeusza Buka
,gen. Broni Władysława Sikorskiego,Generała Broni Władysława Sikorskiego
,gen. Bronisława Ducha,Generała Bronisława Ducha
,gen. Bruno Olbrychta,Generała Bruno Olbrychta
,Gen. bryg. Jacka Bartoszcze,Generała Brygady Jacka Bartoszcze
,gen. bryg. Mikołaja Bołtucia,Generała Brygady Mikołaja Bołtucia
,gen. bryg. Stanisława Grzmot-Skotnickiego,Generała Brygady Stanisława Grzmot-Skotnickiego
,gen. Brygady Pilota Michała Polecha,Generała Brygady Pilota Michała Polecha
,gen. Charlesa de Gaulle'a,Generała Charlesa de Gaulle'a
,gen. Chrzanowskiego,Generała Ignacego Chrzanowskiego
,Gen. Chłopickiego,Generała Józefa Chłopickiego
,gen. D. Chłapowskiego,Generała Dezyderego Chłapowskiego
,gen. de Gaulle'a,Generała Charlesa de Gaulle'a
,gen. Dezyderego Chłapowskiego,Generała Dezyderego Chłapowskiego
,gen. Dwernickiego,Generała Józefa Dwernickiego
,gen. dyw. Tadeusza Kutrzeby,Generała Dywizji Tadeusza Kutrzeby
,gen. dyw. Władysława Bortnowskiego,Generała Dywizji Władysława Bortnowskiego
,gen. Dywizji Franciszka Kleeberga,Generała Dywizji Franciszka Kleeberga
,Gen. Dąbrowskiego,Generała Jarosława Dąbrowskiego
,Gen. E. J. Godlewskiego,Generała Edwarda Józefa Godlewskiego
,Gen. Edmunda Taczanowskiego,Generała Edmunda Taczanowskiego
,gen. Elżbiety Zawackiej,Generał Elżbiety Zawackiej
,gen. Emila Fieldorfa,Generała Emila Fieldorfa
,gen. F. Kleeberga,Generała Franciszka Kleeberga
,Gen. F. Sławoja Składkowskiego,Generała Felicjana Sławoja Składkowskiego
,gen. Feliksa Kamińskiego,Generała Feliksa Kamińskiego
0166887,gen. Fieldorfa,Generała Emila Fieldorfa
0166930,gen. Fieldorfa,Generała Emila Fieldorfa
0930800,Gen. Fieldorfa,"Generała Augusta Emila Fieldorfa ""Nila"""
,gen. Franciszka Altera,Generała Franciszka Altera
,gen. Franciszka Barstcha,Generała Franciszka Barstcha
,gen. Franciszka Kamińskiego,Generała Franciszka Kamińskiego
,gen. Franciszka Kleeberga,Generała Franciszka Kleeberga
,gen. Franciszka Krajowskiego,Generała Franciszka Krajowskiego
,gen. Franciszka Ksawerego Christianiego,Generała Franciszka Ksawerego Christianiego
,gen. Franciszka Latinika,Generała Franciszka Latinika
,gen. Franciszka Żymirskiego,Generała Franciszka Żymirskiego
,gen. G. Orlicz-Dreszera,Generała Gustawa Orlicz-Dreszera
,gen. Galicy,Generała Andrzeja Galicy
,gen. George'a Smitha Pattona,Generała George'a Smitha Pattona
,gen. Giuseppe Garibaldiego,Generała Giuseppe Garibaldiego
,Gen. Grochowskiego,Generała Jana Grochowskiego
,gen. Grota Roweckiego,Generała Stefana Grota-Roweckiego
0613903,Gen. Grota Roweckiego,Generała Stefana Grota Roweckiego
,gen. Grota-Roweckiego,Generała Stefana Grota-Roweckiego
,Gen. Gustawa Orlicz Dreszera,Generała Gustawa Orlicz Dreszera
,gen. Gustawa Orlicz-Dreszera,Generała Gustawa Orlicz-Dreszera
,gen. Gustawa Orlicza-Dreszera,Generała Gustawa Orlicza-Dreszera
,gen. H. Dąbrowskiego,Generała Henryka Dąbrowskiego
,gen. Hallera,Generała Józefa Hallera
,gen. Henryka Dembińskiego,Generała Henryka Dembińskiego
,gen. Henryka Dąbrowskiego,Generała Henryka Dąbrowskiego
,Gen. Henryka Le Ronda,Generała Henryka le Ronda
,gen. I. Prądzyńskiego,Generała Ignacego Prądzyńskiego
,gen. Ignacego Ledóchowskiego,Generała Ignacego Ledóchowskiego
,gen. Ignacego Prądzyńskiego,Generała Ignacego Prądzyńskiego
,gen. J. Bema,Generała Józefa Bema
,gen. J. Chłopickiego,Generała Józefa Chłopickiego
,gen. J. Dwernickiego,Generała Józefa Dwernickiego
,gen. J. Hallera,Generała Józefa Hallera
,gen. J. N. Umińskiego,Generała Jana Nepomucena Umińskiego
,gen. J. Sowińskiego,Generała Józefa Sowińskiego
,gen. J.H. Dąbrowskiego,Generała Jana Henryka Dąbrowskiego
,gen. Jakuba Jasińskiego,Generała Jakuba Jasińskiego
,gen. Jana Henryka Dąbrowskiego,Generała Jana Henryka Dąbrowskiego
,gen. Jana Karcza,Generała Jana Karcza
,gen. Jana Nepomucena Umińskiego,Generała Jana Nepomucena Umińskiego
,Gen. Jana Sadowskiego,Generała Jana Sadowskiego
,gen. Jana Skrzyneckiego,Generała Jana Skrzyneckiego
,gen. Jana Tomickiego,Generała Jana Tomickiego
,gen. Jana W. Kiwerskiego,Generała Jana Wojciecha Kiwerskiego
,gen. Janusza Głuchowskiego,Generała Janusza Głuchowskiego
,gen. Jarosława Dąbrowskiego,Generała Jarosława Dąbrowskiego
,Gen. Jasińskiego,Generała Jakuba Jasińskiego
,gen. Jerzego Przemysława Morawicza,Generała Jerzego Przemysława Morawicza
,gen. Jerzego Ziętka,Generała Jerzego Ziętka
,gen. Juliana Filipowicza,Generała Juliana Filipowicza
,gen. Juliana Skokowskiego,Generała Juliana Skokowskiego
,gen. Juliusza Rómmla,Generała Juliusza Rómmla
,gen. Józefa Bema,Generała Józefa Bema
,gen. Józefa Chłopickiego,Generała Józefa Chłopickiego
,gen. Józefa Dowbor-Muśnickiego,Generała Józefa Dowbor-Muśnickiego
,gen. Józefa Dowbór-Muśnickiego,Generała Józefa Dowbór-Muśnickiego
,gen. Józefa Dwernickiego,Generała Józefa Dwernickiego
,gen. Józefa Edwarda Grobelnego,Generała Józefa Edwarda Grobelnego
,gen. Józefa Fiszera,Generała Józefa Fiszera
,gen. Józefa Gizy,Generała Józefa Gizy
,gen. Józefa Hallera,Generała Józefa Hallera
,gen. Józefa Hauke-Bosaka,Generała Józefa Hauke-Bosaka
,gen. Józefa Kalickiego,Generała Józefa Kalickiego
,Gen. Józefa Karge,Generała Józefa Karge
,gen. Józefa Kustronia,Generała Józefa Kustronia
,gen. Józefa Longina Sowińskiego,Generała Józefa Longina Sowińskiego
,gen. Józefa Ludwika Hauke-Bosaka,Generała Józefa Ludwika Hauke-Bosaka
,Gen. Józefa Niemojewskiego,Generała Józefa Niemojewskiego
,gen. Józefa Sowińskiego,Generała Józefa Sowińskiego
,gen. Józefa Wybickiego,Generała Józefa Wybickiego
,gen. Józefa Wysockiego,Generała Józefa Wysockiego
,gen. Józefa Zająca,Generała Józefa Zająca
,gen. Józefa Zajączka,Generała Józefa Zajączka
,gen. K. Pułaskiego,Generała Kazimierza Pułaskiego
,gen. K. Sosnkowskiego,Generała Kazimierza Sosnkowskiego
,gen. Karola Kniaziewicza,Generała Karola Kniaziewicza
,Gen. Kazimierza Gilarskiego,Generała Kazimierza Gilarskiego
,gen. Kazimierza Glabisza,Generała Kazimierza Glabisza
,gen. Kazimierza Grudzielskiego,Generała Kazimierza Grudzielskiego
,gen. Kazimierza Pułaskiego,Generała Kazimierza Pułaskiego
,gen. Kazimierza Sosnkowskiego,Generała Kazimierza Sosnkowskiego
,gen. Kazimierza Tumidajskiego,Generała Kazimierza Tumidajskiego
,gen. Kleeberga,Generała Franciszka Kleeberga
,gen. Klemensa Rudnickiego,Generała Klemensa Rudnickiego
,gen. Kniaziewicza,Generała Karola Kniaziewicza
,gen. Komierowskiego,Generała Jakuba Komierowskiego
,gen. Komorowskiego,"Generała Tadeusza ""Bora"" Komorowskiego"
,gen. Kopańskiego,Generała Stanisława Kopańskiego
,Gen. Kruka,Generała Kruka
,gen. Kąckiego,Generała Marcina Kąckiego
,gen. L. Niedźwiadka-Okulickiego,"Generała Leopolda Okulickiego ""Niedźwiadka"""
,gen. L. Okulickiego,Generała Leopolda Okulickiego
,Gen. Leopolda Cehaka,Generała Leopolda Cehaka
,gen. Leopolda Okulickiego,Generała Leopolda Okulickiego
,gen. Lucjana Żeligowskiego,Generała Lucjana Żeligowskiego
,gen. Ludomiła Rayskiego,Generała Ludomiła Rayskiego
,gen. Ludwika Bittnera,Generała Ludwika Bittnera
,gen. Ludwika Czyżewskiego,Generała Ludwika Czyżewskiego
,gen. Ludwika Kickiego,Generała Ludwika Kickiego
,gen. Ludwika Kmicic-Skrzyńskiego,Generała Ludwika Kmicic-Skrzyńskiego
,gen. Ludwika Mierosławskiego,Generała Ludwika Mierosławskiego
,gen. M. Bołtucia,Generała Mikołaja Bołtucia
,gen. M. Smorawińskiego,Generała Mieczysława Smorawińskiego
,gen. M. Tokarzewskiego-Karaszewicza,Generała Michała Tokarzewskiego-Karaszewicza
,gen. Maczka,Generała Stanisława Maczka
,gen. Madalińskiego,Generała Antoniego Madalińskiego
,gen. Mariana Kukiela,Generała Mariana Kukiela
,gen. Mariana Langiewicza,Generała Mariana Langiewicza
,gen. Mariana Turkowskiego,Generała Mariana Turkowskiego
,gen. Marii Wittek,Generał Marii Wittek
,gen. Marii Wittekówny,Generał Marii Wittekówny
,gen. Mariusza Zaruskiego,Generała Mariusza Zaruskiego
,Gen. Maurycego Haukego,Generała Maurycego Haukego
,gen. Michała Kruka,Generała Michała Kruka
,gen. Michała Sokolnickiego,Generała Michała Sokolnickiego
,gen. Michała Tokarzewskiego-Karaszewicza,Generała Michała Tokarzewskiego-Karaszewicza
,gen. Mieczysława Boruty-Spiechowicza,Generała Mieczysława Boruty-Spiechowicza
,gen. Mieczysława Dąbkowskiego,Generała Mieczysława Dąbkowskiego
,gen. Mieczysława Smorawińskiego,Generała Mieczysława Smorawińskiego
,gen. Mikołaja Bołtucia,Generała Mikołaja Bołtucia
,gen. Milana-Kamskiego,Generała Milana-Kamskiego
,gen. Morawskiego,Generała Franciszka Morawskiego
,gen. Nikodema Sulika,Generała Nikodema Sulika
,gen. Nila-Fieldorfa,"Generała Augusta Fieldorfa ""Nila"""
,gen. Okulickiego,Generała Leopolda Okulickiego
,gen. Orlicz-Dreszera,Generała Gustawa Orlicz-Dreszera
,gen. Ottokara Brzozy-Brzeziny,Generała Ottokara Brzozy-Brzeziny
,gen. pil. Witolda Urbanowicza,Generała Pilota Witolda Urbanowicza
,Gen. Pilota St. Skalskiego,Generała Pilota Stanisława Skalskiego
,Gen. Prądzyńskiego,Generała Ignacego Prądzyńskiego
,Gen. Pułaskiego,Generała Kazimierza Pułaskiego
,gen. Romana Abrahama,Generała Romana Abrahama
,gen. Roweckiego-Grota,"Generała Stefana ""Grota"" Roweckiego"
,gen. Ryszarda Kuklińskiego,Generała Ryszarda Kuklińskiego
,gen. Rómmla,Generała Juliusza Rómmla
,gen. S. Grota-Roweckiego,Generała Stefana Grota-Roweckiego
,gen. S. Maczka,Generała Stanisława Maczka
,gen. Sikorskiego,Generała Władysława Sikorskiego
,gen. Skarbka Kruszewskiego,Generała Skarbka Kruszewskiego
,Gen. Smoleńskiego,Generała Józefa Smoleńskiego
,gen. Sosnkowskiego,Generała Kazimierza Sosnkowskiego
,Gen. Sowińskiego,Generała Józefa Sowińskiego
,gen. St. Skalskiego,Generała Stanisława Skalskiego
,gen. Stanisława Dąbka,Generała Stanisława Dąbka
,Gen. Stanisława Fiszera,Generała Stanisława Fiszera
,gen. Stanisława Grzmot-Skotnickiego,Generała Stanisława Grzmot-Skotnickiego
,gen. Stanisława Grzmota-Skotnickiego,Generała Stanisława Grzmota-Skotnickiego
,gen. Stanisława Karpińskiego,Generała Stanisława Karpińskiego
,gen. Stanisława Klickiego,Generała Stanisława Klickiego
,gen. Stanisława Maczka,Generała Stanisława Maczka
,Gen. Stanisława Rostworowskiego,Generała Stanisława Rostworowskiego
,gen. Stanisława Skalskiego,Generała Stanisława Skalskiego
,gen. Stanisława Skrzyńskiego,Generała Stanisława Skrzyńskiego
,gen. Stanisława Sosabowskiego,Generała Stanisława Sosabowskiego
,gen. Stanisława Szeptyckiego,Generała Stanisława Szeptyckiego
,gen. Stanisława Taczaka,Generała Stanisława Taczaka
,gen. Stanisława Woyczyńskiego,Generała Stanisława Woyczyńskiego
,gen. Stefana Buchowieckiego,Generała Stefana Buchowieckiego
,gen. Stefana Grota - Roweckiego,Generała Stefana Grota-Roweckiego
,gen. Stefana Grota Roweckiego,Generała Stefana Grota Roweckiego
,gen. Stefana Grota-Roweckiego,Generała Stefana Grota-Roweckiego
,gen. Stefana Hubickiego,Generała Stefana Hubickiego
,gen. Stefana Roweckiego,Generała Stefana Roweckiego
,gen. Stefana Roweckiego-Grota,Generała Stefana Roweckiego-Grota
,Gen. Słubickiego,Generała Augustyna Słubickiego
,gen. T. Bora-Komorowskiego,Generała Tadeusza Bora-Komorowskiego
,Gen. T. Kutrzeby,Generała Tadeusza Kutrzeby
,gen. T. Piskora,Generała Tadeusza Piskora
,gen. Taczanowskiego,Generała Edmunda Taczanowskiego
,Gen. Tadeusza Bora Komorowskiego,Generała Tadeusza Bora Komorowskiego
,gen. Tadeusza Bora-Komorowskiego,Generała Tadeusza Bora-Komorowskiego
,Gen. Tadeusza Góry,Generała Tadeusza Góry
,gen. Tadeusza Jakubowskiego,Generała Tadeusza Jakubowskiego
,gen. Tadeusza Jordana-Rozwadowskiego,Generała Tadeusza Jordana-Rozwadowskiego
,gen. Tadeusza Kasprzyckiego,Generała Tadeusza Kasprzyckiego
,gen. Tadeusza Kościuszki,Generała Tadeusza Kościuszki
,gen. Tadeusza Kutrzeby,Generała Tadeusza Kutrzeby
,gen. Tadeusza Piskora,Generała Tadeusza Piskora
,gen. Tadeusza Rozwadowskiego,Generała Tadeusza Rozwadowskiego
,gen. Umińskiego,Generała Jana Nepomucena Umińskiego
,gen. W. Andersa,Generała Władysława Andersa
,gen. W. Chrzanowskiego,Generała Wojciecha Chrzanowskiego
,gen. W. Sikorskiego,Generała Władysława Sikorskiego
,gen. Wacława Przeździeckiego,Generała Wacława Przeździeckiego
,gen. Walerego Wróblewskiego,Generała Walerego Wróblewskiego
,gen. Waleriana Czumy,Generała Waleriana Czumy
,Gen. Waraksiewicza,Generała Adolfa Mikołaja Waraksiewicza
,gen. Wieniawy-Długoszowskiego,Generała Bolesława Wieniawy-Długoszowskiego
,gen. Wiktora Thomme,Generała Wiktora Thomme
,gen. Wiktora Thommee,Generała Wiktora Thommee
,gen. Wiktora Thommée,Generała Wiktora Thommée
,Gen. Wincentego Kowalskiego,Generała Wincentego Kowalskiego
,gen. Witolda Urbanowicza,Generała Witolda Urbanowicza
,gen. Wojciecha Borzobohatego,Generała Wojciecha Borzobohatego
,gen. Wybickiego,Generała Józefa Wybickiego
,gen. Wł. Andersa,Generała Władysława Andersa
,gen. Wł. Sikorskiego,Generała Władysława Sikorskiego
,Gen. Włada,Generała Franciszka Włada
,gen. Władysława Andersa,Generała Władysława Andersa
,gen. Władysława Bortnowskiego,Generała Władysława Bortnowskiego
,gen. Władysława Raczkiewicza,Generała Władysława Raczkiewicza
,gen. Władysława Sikorskiego,Generała Władysława Sikorskiego
,gen. Z. Gilewicza,Generała Zygmunta Gilewicza
,gen. Zajączka,Generała Józefa Zajączka
,Gen. Zielińskiego,Generała Karola Zielińskiego
,Gen. Ziętka,Generała Jerzego Ziętka
,gen. Zygmunta Bohusz-Szyszko,Generała Zygmunta Bohusz-Szyszko
,gen. Zygmunta Bohusza-Szyszko,Generała Zygmunta Bohusza-Szyszko
,Gen. Zygmunta Jankego,Generała Zygmunta Jankego
,gen. Zygmunta Padlewskiego,Generała Zygmunta Padlewskiego
,gen. Zygmunta Podhorskiego,Generała Zygmunta Podhorskiego
,gen. Zygmunta Waltera Jankego,Generała Zygmunta Waltera Jankego
,gen. Zygmunta Waltera-Janke,Generała Zygmunta Waltera-Janke
,gen. Świerczewskiego,Generała Karola Świerczewskiego
,Gen.Bema,Generała Józefa Bema
,Gen.J.Henryka Dąbrowskiego,Generała Jana Henryka Dąbrowskiego
,Generała Andersa,Generała Władysława Andersa
,Generała Bema,Józefa Bema
,Generała Ch. de Gaulle'a,Generała Charlesa de Gaulle'a
,Generała Fieldorfa-Nila,Generała Augusta Emila Fieldorfa-Nila
,Generała Hallera,Generała Józefa Hallera
,Generała Sikorskiego,Generała Władysława Sikorskiego
,Generała St. Grota Roweckiego,Generała Stefana Grota Roweckiego
,Generała Stef. Grota-Roweckiego,Generała Stefana Grota-Roweckiego
,Generała W. Sikorskiego,Generała Władysława Sikorskiego
,Gierymskiego,Maksymiliana Gierymskiego
,Grobla A. Mickiewicza,Grobla Adama Mickiewicza
,Grota Roweckiego,Generała Stefana Grota-Roweckiego
,Grottgera,Artura Grottgera
,Grzegorzewskiej,Marii Grzegorzewskiej
,Góra św. Anny,Góra Świętej Anny
,Góry św. Anny,Góry Świętej Anny
,Głowackiego,Bartosza Głowackiego
,H. Cegielskiego,Hipolita Cegielskiego
,H. Ch. Andersena,Hansa Christiana Andersena
,H. Derdowskiego,Hieronima Derdowskiego
,H. Dąbrowskiego,Henryka Dąbrowskiego
,H. Hahna,Henryka Hahna
,H. Konopackiej,Haliny Konopackiej
,H. Kołłątaja,Hugona Kołłątaja
,H. M. Sachsów,Henryka i Mieczysławy Sachsów
,H. Marusarzówny,Haliny Marusarzówny
,H. Mniszkówny,Heleny Mniszkówny
,H. Sienkiewicza,Henryka Sienkiewicza
,H. Skarbka,Henryka Skarbka
,H. Sucharskiego,Henryka Sucharskiego
,H. Szczerkowskiego,Hipolita Szczerkowskiego
,H. Wieniawskiego,Henryka Wieniawskiego
,H.Sienkiewicza,Henryka Sienkiewicza
,Hallera,Józefa Hallera
,harc. Józefa Kaczmarskiego,Harcmistrza Józefa Kaczmarskiego
,Harcerzy R. P.,Harcerzy Rzeczypospolitej Polskiej
,harcm. Jerzego Czerwińskiego,Harcmistrza Jerzego Czerwińskiego
,Henryka hr. Łubieńskiego,Hrabiego Henryka Łubieńskiego
,hetm. J. Chodkiewicza,Hetmana Jana Chodkiewicza
,hetm. J. Zamoyskiego,Hetmana Jana Zamoyskiego
,hetm. Jana Zamoyskiego,Hetmana Jana Zamoyskiego
,hetm. S. Czarnieckiego,Hetmana Stefana Czarnieckiego
,hetm. S. Żółkiewskiego,Hetmana Stefana Żółkiewskiego
,hetm. Stanisława Żółkiewskiego,Hetmana Stanisława Żółkiewskiego
,Hetm. Żółkiewskiego,Hetmana Stanisława Żółkiewskiego
,Hetmana A. M. Sieniawskiego,Hetmana Adama Sieniawskiego
,Hetmana Żółkiewskiego,Hetmana Stanisława Żółkiewskiego
,hm. Bernarda Myśliwka,Harcmistrza Bernarda Myśliwka
,hm. Marcina Strachanowskiego,Harcmistrza Marcina Strachanowskiego
,hm. Marii Rydarowskiej,Harcmistrza Marii Rydarowskiej
,hm. Tadeusza Sobisia,Tadeusza Sobisia
,hm. Zbigniewa Łukomskiego,Harcmistrza Zbigniewa Łukomskiego
,hr. Aleksandry Komorowskiej,Hrabiny Aleksandry Komorowskiej
,hr. Alfreda Potockiego,Hrabiego Alfreda Potockiego
,hr. Augusta,Hrabiego Augusta
,hr. Augusta Potockiego,Hrabiego Augusta Potockiego
,hr. Colonny,Hrabiego Colonny
,hr. Jakuba Szembeka,Hrabiego Jakuba Szembeka
,hr. Maurycego Zamoyskiego,Hrabiego Maurycego Zamoyskiego
,hr. Wandy Tarnowskiej,Hrabiny Wandy Tarnowskiej
,hr. Zdzisława Grocholskiego,Hrabiego Zdzisława Grocholskiego
,Hugona Kołłątaja,Hugo Kołłątaja
,I. B. Singera,Isaaca Bashevisa Singera
,I. Daszyńskiego,Ignacego Daszyńskiego
,I. J. Paderewskiego,Ignacego Jana Paderewskiego
,I. Krasickiego,Ignacego Krasickiego
,I. Krasińskiego,Ignacego Krasińskiego
,I. Mościckiego,Ignacego Mościckiego
,I. Paderewskiego,Ignacego Paderewskiego
,I. Łukasiewicza,Ignacego Łukasiewicza
,I. Łęckiej,Izabeli Łęckiej
,I.K. Chodkiewicza,Jana Karola Chodkiewicza
,Ig. Paderewskiego,Ignacego Paderewskiego
,Ignacego D. Kaczmarka,Ignacego Kaczmarka
,Ignacego J. Paderewskiego,Ignacego Jana Paderewskiego
,Ignacego Paderewskiego,Ignacego Jana Paderewskiego
,im. Aleksandra Fredry,Aleksandra Fredry
,im. Aleksandra Majkowskiego,Aleksandra Majkowskiego
,Im. Generała Józefa Hallera,Generała Józefa Hallera
,im. Haliny Poświatowskiej,Haliny Poświatowskiej
,im. Hieronima Derdowskiego,Hieronima Derdowskiego
,im. Jana Pawła II,Jana Pawła II
,im. Klemensa Maciaszczyka,Klemensa Maciaszczyka
,im. Ks. Kazimierza Jońca,Księdza Kazimierza Jońca
,im. ks. Pawła Kwiatkowskiego,Księdza Pawła Kwiatkowskiego
,im. Mariusza Małynicza,Mariusza Małynicza
,im. Ppłk. Hieronima Kupczyka,Podpułkownika  Hieronima Kupczyka
,im. płk. Witolda Pileckiego,Pułkownika Witolda Pileckiego
,im. Romany Kaszczyc,Romany Kaszczyc
,im. Tadeusza Skołuby,Tadeusza Skołuby
,im. Warszawy-Centrum,Warszawy-Centrum
,im. Zbyluta,Zbyluta
,inż. A. Hoffmanna,Inżyniera Alfonsa Hoffmanna
,inż. Antoniego Kocjana,Inżyniera Antoniego Kocjana
,inż. arch. Kazimierza Gregorkiewicza,Inżyniera Architekta Kazimierza Gregorkiewicza
,inż. Bohdana Apolinariusza Łozińskiego,Inżyniera Bohdana Apolinariusza Łozińskiego
,inż. J. Śmidowicza,Inżyniera Jana Śmidowicza
,inż. Jana Brody,Inżyniera Jana Brody
,inż. Jana Chołocińskiego,Inżyniera Jana Chołocińskiego
,inż. Juliana Rummla,Inżyniera Juliana Rummla
,inż. Józefa Kiedronia,Inżyniera Józefa Kiedronia
,inż. Karola Ślusarczyka,Inżyniera Karola Ślusarczyka
,inż. Wincentego Choroszewskiego,Inżyniera Wincentego Choroszewskiego
,inż. Witolda Marczewskiego,Inżyniera Witolda Marczewskiego
,inż. Władysława Rogowskiego,Inżyniera Władysława Rogowskiego
,inż. Władysława Sujkowskiego,Inżyniera Władysława Sujkowskiego
,inż. Zygmunta Okoniewskiego,Inżyniera Zygmunta Okoniewskiego
,J. Bema,Józefa Bema
,J. Brzechwy,Jana Brzechwy
,J. Chełmońskiego,Józefa Chełmońskiego
,J. Chłopickiego,Józefa Chłopickiego
,J. Dąbrowskiego,Jarosława Dąbrowskiego
,J. Długosza,Jana Długosza
,J. Fałata,Juliana Fałata
,J. Fr. von Eichendorffa,Józefa Franciszka von Eichendorffa
,J. Grzymały,Jana Grzymały
