tier,key,min_levels,max_levels,max_neighbours,tags
1,budynki cmentarne,,,,building=yes;fixme=BDOT10k: budynki cmentarne
1,inny budynek kultu religijnego,,,,building=religious
1,cerkiew,,,,building=church
1,synagoga,,,,building=synagogue
1,rezydencja biskupia,,,,building=religious
1,kuria metropolitalna,,,,building=religious
1,meczet,,,,building=religious
1,dom pogrzebowy,,,,building=yes;fixme=BDOT10k: dom pogrzebowy
1,krematorium,,,,building=yes;fixme=BDOT10k: krematorium
1,klub sportowy,,,,building=sports_centre
1,zabytek niepełniący żadnej funkcji użytkowej,,,,building=yes;fixme=BDOT10k: zabytek niepełniący żadnej funkcji użytkowej
1,schronisko dla zwierząt,,,,building=yes;fixme=BDOT10k: schronisko dla zwierząt
1,budynek ogrodu zoologicznego lub botanicznego,,,,building=yes;fixme=BDOT10k: budynek ogrodu zoologicznego lub botanicznego
1,basen kąpielowy,,,,building=sports_centre
1,korty tenisowe,,,,building=yes;fixme=BDOT10k: korty tenisowe
1,strzelnica,,,,building=yes;fixme=BDOT10k: strzelnica
1,teatr,,,,building=civic
1,hala widowiskowa,,,,building=civic
1,galeria sztuki,,,,building=civic
1,sztuczne lodowisko,,,,building=sports_centre
1,pawilon ogrodowy lub oranżeria,,,,building=yes;fixme=BDOT10k: pawilon ogrodowy lub oranżeria
1,hala wystawowa,,,,building=civic
1,filharmonia,,,,building=civic
1,opera,,,,building=civic
1,halowy tor gokartowy,,,,building=sports_centre
1,kręgielnia,,,,building=sports_centre
1,stacja meteorologiczna,,,,building=yes;fixme=BDOT10k: stacja meteorologiczna
1,stacja hydrologiczna,,,,building=yes;fixme=BDOT10k: stacja hydrologiczna
2,"budynki produkcyjne, usługowe i gospodarcze dla rolnictwa",,,,building=outbuilding
2,budynki transportu i łączności,,,,building=garage
2,"zbiorniki, silosy i budynki magazynowe",,,,building=warehouse
2,budynki mieszkalne,,,,building=residential
2,budynki handlowo-usługowe,,,,building=retail
2,budynki biurowe,,,,building=office
2,budynki przemysłowe,,,,building=industrial
2,budynki szpitali i inne budynki opieki zdrowotnej,,,,building=healthcare
2,"budynki oświaty, nauki i kultury oraz budynki sportowe",,,,building=civic
2,pozostałe budynki niemieszkalne,,,,building=yes;fixme=BDOT10k: pozostałe budynki niemieszkalne
